Store No,Opportunity Est Date,Product,Opportunity ID,Opportunity Name,Project_Status,Opportunity_Status, Opportunity Usage ,Opportunity Stage
3838966,31/12/2018,products: Infrastructure Migration,pr3307,Managed Disk implementation,Inactive,In Progress,500,Stage 1
23333619,30/06/2018,products: Infrastructure Migration,pr3308,Client onboarding,Active,In Progress,"5,000",Stage 0
76161956,01/03/2018,products: EAI,pr3309,Managed Service ,Active,In Progress,200,Stage 0
76262802,31/05/2019,products: Azure Stack,pr3310,Acceleration in Projects,Inactive,In Progress,"1,000",Stage 4
27575106,30/04/2019,products: Infrastructure Migration,pr3311,Managed Service ,Active,In Progress,"5,000",Stage 1
9797210,29/03/2019,products: Disaster Recovery,pr3312,App Sprint,Inactive,In Progress,250,Stage 1
32929524,15/06/2018,products: EAI,pr3313,Acceleration in Projects,Active,In Progress,800,Stage 2
22525968,08/02/2019,products: Datacenter Migration,pr3314,respond to RFPA,-,-,341,Stage 2
2020106,31/10/2019,products: Infrastructure Migration,pr3315,Managed Disk implementation,Active,In Progress,"2,730",Stage 2
17272145,31/05/2019,products: Datacenter Migration,pr3316,phase of migration,Active,In Progress,"15,000",Stage 2
99494881,21/02/2018,products: EAI,pr3317,Manufacturing Images,Active,Completed,300,Stage 2
37878619,28/03/2019,products: Infrastructure Migration,pr3318,phase projects,-,-,"1,365",Stage 4
32222619,30/06/2019,products: Datacenter Migration,pr3319,phase of migration,Inactive,In Progress,"1,000",Stage 3
79292522,28/02/2018,products: Disaster Recovery,pr3320,Client onboarding,Inactive,In Progress,"6,825",Stage 4
97171523,17/03/2017,products: Infrastructure Migration,pr3321,Managed Service ,Active,Completed,"1,500",Stage 3
72020165,31/10/2019,products: Datacenter Migration,pr3322,Managed Disk implementation,Inactive,In Progress,"5,000",Stage 4
20202140,14/02/2018,products: EAI,pr3323,Client onboarding,Active,In Progress,500,Stage 5
27979953,29/09/2017,products: Networking apps,pr3324,Manufacturing Images,Inactive,In Progress,"1,500",Stage 0
19595119,15/03/2018,products: Disaster Recovery,pr3325,Manufacturing Images,Active,In Progress,683,Stage 4
83939132,23/03/2018,products: Networking apps,pr3326,Acceleration Transfer,Active,Completed,650,Stage 3
26565108,31/10/2019,products: EAI,pr3327,Managed Disk implementation,Active,Completed,"2,500",Stage 5
92828118,26/09/2019,products: Virtual Desktop,pr3328,respond to RFPA,Inactive,Completed,"6,825",Stage 4
30707619,30/11/2018,products: Datacenter Migration,pr3329,Access to All users,Active,In Progress,"5,000",Stage 1
58080144,22/02/2019,products: Disaster Recovery,pr3330,phase rollout,Inactive,Completed,"4,000",Stage 3
42222153,30/03/2018,products: EAI,pr3331,phase of migration,Active,In Progress,100,Stage 3
35757522,30/04/2018,products: Networking apps,pr3332,Acceleration Transfer,Inactive,In Progress,"6,821",Stage 0
11616134,28/06/2019,products: EAI,pr3333,Account set up,Inactive,In Progress,100,Stage 1
7272963,26/06/2019,products: Infrastructure Migration,pr3334,Accuvate initial work,Inactive,Completed,"1,000",Stage 1
89393974,19/12/2017,products: Infrastructure Migration,pr3335,Account set up,Active,In Progress,"1,000",Stage 3
68888109,30/03/2018,products: EAI,pr3336,Managed Disk implementation,Inactive,In Progress,100,Stage 5
38686957,14/01/2018,products: Azure Stack,pr3337,Acceleration in Projects,Active,Completed,137,Stage 0
46464521,27/09/2018,products: High Performance Compute,pr3338,ACT Premium enabled,Active,In Progress,683,Stage 5
92525956,15/05/2019,products: EAI,pr3339,Manufacturing Images,Active,Blocked,"2,000",Stage 1
35959619,29/03/2019,products: Datacenter Migration,pr3340,App Migration,Active,In Progress,683,Stage 2
56161110,30/11/2017,products: EAI,pr3341,Managed disks migration,Inactive,Completed,"20,475",Stage 5
61717522,28/02/2020,products: EAI,pr3342,respond to RFPA,Active,In Progress,"30,000",Stage 1
69999604,19/10/2017,products: EAI,pr3343,phase projects,Inactive,Completed,"10,967",Stage 3
78989797,30/04/2019,products: Infrastructure Migration,pr3344,App production,Active,In Progress,"5,000",Stage 0
71616520,26/04/2019,products: EAI,pr3345,Phase of Data Migration,Inactive,Completed,"13,000",Stage 2
39292124,30/03/2018,products: EAI,pr3346,Managed Disk implementation,Active,In Progress,100,Stage 2
30606604,17/05/2019,products: EAI,pr3347,phase projects,Inactive,In Progress,"5,000",Stage 3
63131124,30/06/2019,products: Datacenter Migration,pr3348,Acceleration in Projects,Active,In Progress,"4,778",Stage 1
8686522,01/09/2019,products: Datacenter Migration,pr3349,Accuvate initial work,Active,Completed,"5,000",Stage 2
30606604,30/11/2018,products: EAI,pr3350,Client onboarding,Active,Completed,"1,200",Stage 5
47878124,30/04/2018,products: EAI,pr3351,Acceleration in Projects,Active,In Progress,"1,365",Stage 2
30606604,08/03/2019,products: SAP on Azure,pr3352,Acceleration in Projects,Inactive,In Progress,"10,000",Stage 2
9191882,01/04/2018,products: Disaster Recovery,pr3353,App Migration,Active,Blocked,"1,000",Stage 4
30606604,18/01/2019,products: EAI,pr3354,Acceleration in Projects,Inactive,In Progress,750,Stage 4
97575124,31/03/2019,products: Disaster Recovery,pr3355,Acceleration in Projects,Inactive,In Progress,"5,000",Stage 0
17272145,19/04/2019,products: Networking apps,pr3356,default method for experimentation,Active,Blocked,100,Stage 2
82424132,31/12/2017,products: EAI,pr3357,Managed Disks,Active,Blocked,"1,500",Stage 0
66666157,31/03/2019,products: Disaster Recovery,pr3358,Account setup,Inactive,In Progress,"6,825",Stage 2
27777521,30/04/2018,products: EAI,pr3359,Account set up,Active,In Progress,100,Stage 3
79090106,31/05/2019,products: Infrastructure Migration,pr3360,Access to All users,Inactive,Completed,"40,950",Stage 4
61212520,28/02/2019,products: EAI,pr3361,Managed Instance,Active,In Progress,"3,066",Stage 1
76363102,30/04/2018,products: EAI,pr3362,Access to All users,Inactive,Blocked,100,Stage 0
27575845,30/11/2017,products: EAI,pr3363,Account setup,Active,Completed,"2,000",Stage 0
55252101,18/09/2017,products: Infrastructure Migration,pr3364,Managed Disks,Active,In Progress,"8,000",Stage 0
93030968,30/04/2018,products: Disaster Recovery,pr3365,Managed disks migration,Inactive,Blocked,"1,000",Stage 4
97575124,31/03/2017,products: EAI,pr3366,Account set up,Active,In Progress,"34,125",Stage 4
4545136,30/05/2019,products: Infrastructure Migration,pr3367,App Sprint,-,-,"1,000",Stage 0
24343524,31/01/2019,products: Infrastructure Migration,pr3368,default method for experimentation,Inactive,Blocked,"20,475",Stage 2
39090963,01/01/2019,products: Infrastructure Migration,pr3369,phase of migration,Inactive,Completed,"10,000",Stage 5
47272619,30/08/2018,products: Disaster Recovery,pr3370,Manufacturing Images,Active,In Progress,"3,255",Stage 2
59393604,31/01/2018,products: Infrastructure Migration,pr3371,phase of migration,-,-,"1,000",Stage 0
69191521,01/05/2019,products: Disaster Recovery,pr3372,respond to RFPA,Inactive,Completed,"4,778",Stage 5
30606604,10/05/2019,products: Infrastructure Migration,pr3373,Accuvate initial work,Active,In Progress,"2,500",Stage 4
47878124,31/07/2019,products: Infrastructure Migration,pr3374,Managed Service ,Active,In Progress,"2,730",Stage 1
83939132,01/04/2019,products: Infrastructure Migration,pr3375,Account setup,Active,Completed,"10,000",Stage 0
9191882,31/03/2019,products: Infrastructure Migration,pr3376,Acceleration in Projects,Inactive,In Progress,"6,825",Stage 4
54343604,31/03/2019,products: Datacenter Migration,pr3377,Managed Instance,Active,In Progress,"15,000",Stage 2
85050594,15/05/2018,products: EAI,pr3378,phase rollout,Inactive,Completed,"5,000",Stage 1
70202109,30/06/2019,products: SAP on Azure,pr3379,Managed Disks,Active,In Progress,"5,000",Stage 0
22626619,31/10/2018,products: Infrastructure Migration,pr3380,App Sprint,Active,In Progress,"54,600",Stage 5
63636160,01/11/2017,products: Infrastructure Migration,pr3381,Manufacturing Images,Active,In Progress,"5,000",Stage 3
91111110,24/08/2018,products: EAI,pr3382,respond to RFPA,Active,Completed,"6,143",Stage 1
50909134,03/09/2018,products: Disaster Recovery,pr3383,Achieve Storage,Active,In Progress,500,Stage 4
69393112,01/07/2018,products: Infrastructure Migration,pr3384,Managed Instance,Active,In Progress,"8,190",Stage 4
24848112,30/06/2018,products: Disaster Recovery,pr3385,Account setup,Active,In Progress,"1,200",Stage 0
12929521,31/01/2019,products: Datacenter Migration,pr3386,Achieve Storage,Inactive,Completed,819,Stage 0
43838604,28/02/2019,products: Datacenter Migration,pr3387,Managed Instance,Active,In Progress,"2,000",Stage 2
33030521,30/04/2018,products: Infrastructure Migration,pr3388,ACT Premium enabled,Inactive,Completed,"3,000",Stage 5
72828522,28/09/2018,products: Disaster Recovery,pr3389,phase rollout,Inactive,Blocked,"2,000",Stage 2
48787522,20/09/2018,products: EAI,pr3390,Manufacturing Images,Active,In Progress,100,Stage 1
58888977,30/04/2019,products: SAP on Azure,pr3391, Back Up And DR,Active,In Progress,"1,000",Stage 2
30606604,25/01/2019,products: EAI,pr3392,Access to All users,Active,In Progress,"1,000",Stage 0
98181961,31/05/2019,products: Datacenter Migration,pr3393, Back Up And DR,Inactive,Completed,"10,000",Stage 5
76363102,31/10/2017,products: Infrastructure Migration,pr3394,App Sprint,Active,In Progress,500,Stage 3
24848112,01/04/2018,products: EAI,pr3395,phase rollout,Inactive,In Progress,137,Stage 3
28686156,31/03/2020,products: Datacenter Migration,pr3396,Accuvate initial work,Inactive,In Progress,"13,650",Stage 5
48787522,30/06/2019,products: SAP on Azure,pr3397,Client onboarding,Inactive,In Progress,"1,365",Stage 2
91111603,03/05/2019,products: Infrastructure Migration,pr3398, Back Up And DR,Active,In Progress,"30,000",Stage 4
8686522,01/01/2019,products: EAI,pr3399,Managed Instance,Active,In Progress,100,Stage 0
64747111,19/03/2018,products: Disaster Recovery,pr3400,App Sprint,Inactive,In Progress,137,Stage 3
92828118,24/09/2019,products: Datacenter Migration,pr3401,App Migration,Inactive,Completed,"20,000",Stage 0
49797521,30/06/2018,products: EAI,pr3402,Account set up,Active,In Progress,956,Stage 4
61717156,03/09/2018,products: Infrastructure Migration,pr3403,Manufacturing Images,Active,In Progress,"4,000",Stage 3
20909162,29/11/2019,products: Infrastructure Migration,pr3404,Account set up,-,-,"10,000",Stage 3
37272619,05/12/2018,products: Infrastructure Migration,pr3405,respond to RFPA,Active,In Progress,"2,500",Stage 0
32020127,31/03/2019,products: Datacenter Migration,pr3406,Managed Disks,Active,In Progress,"2,000",Stage 3
62222129,30/10/2018,products: Networking apps,pr3407,phase of migration,Active,In Progress,205,Stage 3
80707184,31/03/2019,products: Azure Stack,pr3408,App Sprint,Active,In Progress,"20,000",Stage 1
39898184,30/04/2018,products: EAI,pr3409,Acceleration in Projects,Active,Completed,100,Stage 3
41313520,17/05/2019,products: EAI,pr3410,ACT Premium enabled,Active,In Progress,"80,000",Stage 0
63232104,15/06/2018,products: EAI,pr3411,phase rollout,Inactive,Completed,800,Stage 4
63232104,31/10/2018,products: Disaster Recovery,pr3412,phase of migration,Inactive,In Progress,"4,095",Stage 3
83737153,31/12/2018,products: Azure Stack,pr3413,Acceleration Transfer,Active,In Progress,"1,000",Stage 0
20202140,25/12/2018,products: Disaster Recovery,pr3414,App production,Active,In Progress,"6,825",Stage 4
34949522,30/10/2018,products: High Performance Compute,pr3415,phase rollout,Active,In Progress,"6,000",Stage 3
58585974,31/05/2019,products: Datacenter Migration,pr3416,default method for experimentation,Active,In Progress,"5,000",Stage 2
92424523,22/03/2019,products: EAI,pr3417,Account setup,Active,In Progress,"8,046",Stage 1
96969142,30/11/2018,products: EAI,pr3418,Account setup,Active,Blocked,"8,190",Stage 5
27575845,31/12/2017,products: Infrastructure Migration,pr3419,Managed Instance,Inactive,Blocked,500,Stage 3
70404143,20/03/2019,products: EAI,pr3420,App Sprint,Inactive,In Progress,"4,000",Stage 1
98080522,06/12/2019,products: Infrastructure Migration,pr3421,Managed Disks,Active,Completed,"34,125",Stage 5
72626521,30/07/2019,products: Infrastructure Migration,pr3422,Acceleration Transfer,Inactive,In Progress,"5,460",Stage 5
98080522,01/05/2018,products: Infrastructure Migration,pr3423,phase of migration,Active,In Progress,"1,365",Stage 5
63636160,20/05/2019,products: Networking apps,pr3424,App Sprint,Active,In Progress,"2,730",Stage 3
31515815,20/09/2019,products: Datacenter Migration,pr3425,phase of migration,Inactive,Completed,"20,000",Stage 1
95353119,31/03/2022,products: Infrastructure Migration,pr3426,phase of migration,Active,In Progress,"162,500",Stage 0
3333165,29/06/2017,products: Infrastructure Migration,pr3427,phase rollout,Inactive,Completed,"3,000",Stage 2
98181100,21/03/2019,products: Disaster Recovery,pr3428,Acceleration in Projects,Active,In Progress,"1,365",Stage 5
99494881,28/02/2018,products: EAI,pr3429,Accuvate initial work,Active,In Progress,"10,000",Stage 3
86666127,30/09/2019,products: Azure Stack,pr3430, Back Up And DR,Active,Completed,"1,000",Stage 3
68181520,30/04/2018,products: Disaster Recovery,pr3431,App Migration,Inactive,Completed,"10,238",Stage 0
58888977,28/12/2017,products: Infrastructure Migration,pr3432,Client onboarding,Active,In Progress,"1,365",Stage 1
12727521,30/11/2018,products: Infrastructure Migration,pr3433,App Migration,Active,In Progress,"12,800",Stage 0
84848124,30/07/2018,products: EAI,pr3434,Managed Instance,Inactive,Completed,"5,000",Stage 4
18888214,31/01/2018,products: Infrastructure Migration,pr3435,Acceleration in Projects,Active,In Progress,"1,365",Stage 3
26565108,01/01/2019,products: High Performance Compute,pr3436,respond to RFPA,-,-,"15,000",Stage 0
68484165,28/02/2019,products: Datacenter Migration,pr3437,Managed Service ,Inactive,In Progress,"1,001",Stage 5
19292522,14/11/2017,products: EAI,pr3438,Accuvate initial work,Inactive,In Progress,100,Stage 4
62222521,31/07/2018,products: Infrastructure Migration,pr3439,Account setup,Inactive,Completed,"13,650",Stage 3
80303521,28/12/2018,products: Azure Stack,pr3440,Managed disks migration,Active,In Progress,"1,000",Stage 5
3333165,31/12/2019,products: Infrastructure Migration,pr3441,Acceleration in Projects,Inactive,Completed,"20,000",Stage 1
27575845,30/05/2019,products: Infrastructure Migration,pr3442,respond to RFPA,Active,In Progress,"12,000",Stage 1
21818156,29/03/2019,products: Datacenter Migration,pr3443,Manufacturing Images,Active,In Progress,"1,000",Stage 2
63636160,30/01/2019,products: EAI,pr3444,App production,Inactive,In Progress,"5,000",Stage 2
18888214,05/12/2018,products: Networking apps,pr3445,Account setup,Inactive,In Progress,68,Stage 1
74242614,21/03/2018,products: EAI,pr3446,phase of migration,Inactive,In Progress,"5,000",Stage 4
3838966,08/02/2019,products: Datacenter Migration,pr3447,phase of migration,Active,In Progress,"5,000",Stage 0
32626963,22/11/2018,products: Infrastructure Migration,pr3448, Back Up And DR,Inactive,Blocked,"3,000",Stage 0
70404109,01/06/2018,products: Networking apps,pr3449,Managed Disk implementation,Active,In Progress,"5,000",Stage 1
27575845,31/03/2019,products: Infrastructure Migration,pr3450,Managed Instance,Active,In Progress,"20,000",Stage 5
27171133,01/07/2019,products: SAP on Azure,pr3451,Managed Instance,Inactive,In Progress,"10,000",Stage 1
61212520,31/05/2019,products: Infrastructure Migration,pr3452,App production,Inactive,In Progress,"5,000",Stage 2
72727797,01/03/2019,products: Datacenter Migration,pr3453,App production,Active,In Progress,500,Stage 5
76161172,31/12/2017,products: EAI,pr3454,App Sprint,Active,In Progress,300,Stage 5
18888143,25/10/2019,products: Disaster Recovery,pr3455,phase projects,Active,In Progress,"27,300",Stage 4
82222183,01/05/2019,products: Datacenter Migration,pr3456,Acceleration in Projects,Inactive,Completed,"6,825",Stage 3
12727521,29/06/2018,products: Infrastructure Migration,pr3457,Accuvate initial work,Active,Blocked,"1,500",Stage 4
69393112,30/09/2018,products: EAI,pr3458,respond to RFPA,Active,In Progress,"5,000",Stage 5
83535165,01/12/2017,products: Azure Stack,pr3459,App Migration,Inactive,In Progress,500,Stage 2
92828118,22/03/2018,products: EAI,pr3460,Managed Disk implementation,Active,In Progress,800,Stage 0
31515815,30/04/2018,products: EAI,pr3461,Managed Disk implementation,Active,Blocked,800,Stage 1
98181961,30/04/2019,products: Datacenter Migration,pr3462,Phase of Data Migration,Inactive,Completed,"5,000",Stage 4
89393119,31/01/2018,products: Azure Stack,pr3463,Account set up,Active,In Progress,"1,000",Stage 4
54949520,23/04/2018,products: Infrastructure Migration,pr3464,phase projects,Inactive,In Progress,"1,365",Stage 2
63333112,30/06/2019,products: Infrastructure Migration,pr3465,Managed Instance,Active,In Progress,"10,000",Stage 3
44646101,31/07/2018,products: Disaster Recovery,pr3466,App production,Active,In Progress,"1,229",Stage 1
63636160,25/01/2018,products: Infrastructure Migration,pr3467,Acceleration in Projects,Inactive,Completed,"1,000",Stage 4
24949619,30/04/2018,products: EAI,pr3468,Accuvate initial work,-,-,100,Stage 4
30707138,31/07/2019,products: Infrastructure Migration,pr3469,Acceleration in Projects,Inactive,In Progress,"13,650",Stage 3
30707619,31/10/2018,products: EAI,pr3470,default method for experimentation,Active,In Progress,"5,460",Stage 1
99696211,31/05/2017,products: Infrastructure Migration,pr3471,Achieve Storage,Inactive,Completed,"3,098",Stage 5
23232619,15/10/2018,products: High Performance Compute,pr3472,Managed Service ,Active,In Progress,"2,000",Stage 2
8686141,31/03/2019,products: Networking apps,pr3473,phase projects,Active,In Progress,"1,000",Stage 0
99696211,30/09/2019,products: Disaster Recovery,pr3474,ACT Premium enabled,Active,In Progress,"20,000",Stage 5
27575845,03/06/2019,products: EAI,pr3475,Manufacturing Images,Inactive,In Progress,"5,000",Stage 4
30606604,26/07/2019,products: EAI,pr3476,App production,Inactive,In Progress,500,Stage 5
31515815,30/04/2019,products: Infrastructure Migration,pr3477,Managed Instance,Inactive,Completed,"1,500",Stage 4
62323967,30/04/2018,products: EAI,pr3478,Acceleration in Projects,Inactive,Completed,100,Stage 0
55252101,29/06/2018,products: SAP on Azure,pr3479,Account setup,Active,In Progress,"6,000",Stage 5
58080144,31/10/2018,products: EAI,pr3480,Phase of Data Migration,Active,In Progress,100,Stage 1
72424520,31/05/2018,products: Infrastructure Migration,pr3481, Back Up And DR,Active,In Progress,"5,000",Stage 3
82222183,13/05/2018,products: High Performance Compute,pr3482,Account set up,Active,In Progress,"20,000",Stage 4
63131124,03/06/2019,products: Datacenter Migration,pr3483,Phase of Data Migration,Inactive,In Progress,"1,000",Stage 3
78484143,16/03/2018,products: Azure Stack,pr3484,Acceleration in Projects,Inactive,Completed,50,Stage 5
41010143,30/09/2019,products: EAI,pr3485,Accuvate initial work,Active,In Progress,"30,000",Stage 2
54949520,30/11/2018,products: Disaster Recovery,pr3486,Acceleration in Projects,Active,Completed,"2,730",Stage 2
22626138,01/09/2018,products: Infrastructure Migration,pr3487,phase projects,Inactive,In Progress,100,Stage 4
88989184,31/05/2019,products: EAI,pr3488,Managed disks migration,Active,In Progress,"4,000",Stage 0
69898614,15/06/2018,products: EAI,pr3489,Managed Instance,Inactive,In Progress,800,Stage 0
89393970,01/01/2019,products: Infrastructure Migration,pr3490,Client onboarding,Active,In Progress,"67,000",Stage 4
18888143,31/10/2018,products: Datacenter Migration,pr3491,App production,Inactive,In Progress,"2,730",Stage 5
13131147,03/05/2019,products: High Performance Compute,pr3492,default method for experimentation,Inactive,In Progress,"2,000",Stage 2
31515815,20/12/2019,products: Datacenter Migration,pr3493,Phase of Data Migration,Active,In Progress,"25,000",Stage 4
67575604,31/03/2019,products: SAP on Azure,pr3494,App Sprint,Active,In Progress,"40,000",Stage 5
84949133,16/05/2018,products: Datacenter Migration,pr3495,phase of migration,Active,In Progress,"1,500",Stage 1
33030521,31/10/2018,products: Infrastructure Migration,pr3496,default method for experimentation,Active,In Progress,410,Stage 0
63131124,29/06/2018,products: EAI,pr3497,Access to All users,Active,In Progress,"1,000",Stage 4
8686522,01/09/2019,products: Infrastructure Migration,pr3498,Access to All users,Active,In Progress,"5,000",Stage 3
75252392,09/08/2018,products: EAI,pr3499,App Migration,Active,In Progress,100,Stage 1
85555144,28/02/2018,products: Infrastructure Migration,pr3500,Client onboarding,Active,In Progress,"6,825",Stage 0
92525956,27/06/2019,products: Infrastructure Migration,pr3501,Client onboarding,Inactive,Completed,"5,000",Stage 1
31515815,29/06/2018,products: Disaster Recovery,pr3502,Managed Disk implementation,Active,In Progress,500,Stage 5
72424520,29/03/2018,products: High Performance Compute,pr3503,Client onboarding,Inactive,In Progress,"6,825",Stage 1
91111105,30/04/2018,products: EAI,pr3504,phase rollout,Inactive,Completed,100,Stage 0
82222183,02/06/2019,products: Datacenter Migration,pr3505,Client onboarding,Inactive,Completed,"2,000",Stage 2
30606604,27/04/2018,products: EAI,pr3506,default method for experimentation,Inactive,Completed,683,Stage 3
70505960,30/05/2019,products: High Performance Compute,pr3507, Back Up And DR,Active,In Progress,"3,000",Stage 4
84343952,27/09/2019,products: Infrastructure Migration,pr3508,Account set up,Inactive,Completed,"7,231",Stage 4
82525143,05/12/2018,products: EAI,pr3509,Managed Instance,Active,In Progress,"2,000",Stage 5
84646110,28/03/2019,products: Infrastructure Migration,pr3510,Managed Instance,Active,In Progress,"5,000",Stage 1
82525143,30/09/2018,products: Infrastructure Migration,pr3511, Back Up And DR,Active,In Progress,"2,500",Stage 1
8686522,20/12/2017,products: Infrastructure Migration,pr3512,App Sprint,-,-,"1,000",Stage 2
14444106,01/04/2019,products: Infrastructure Migration,pr3513,Manufacturing Images,Active,In Progress,"1,365",Stage 0
75858109,03/06/2019,products: Azure Stack,pr3514,Managed disks migration,Active,In Progress,"250,000",Stage 1
98989124,29/03/2019,products: Datacenter Migration,pr3515,Managed Service ,Inactive,In Progress,400,Stage 4
39595961,15/06/2018,products: EAI,pr3516,Managed disks migration,Active,In Progress,800,Stage 3
99696211,30/04/2019,products: Datacenter Migration,pr3517,Acceleration Transfer,Inactive,In Progress,"20,000",Stage 3
23737619,31/01/2019,products: Datacenter Migration,pr3518,Managed disks migration,Inactive,In Progress,718,Stage 0
43838604,29/04/2019,products: Disaster Recovery,pr3519,Manufacturing Images,Active,In Progress,"5,000",Stage 0
72727797,18/07/2018,products: Infrastructure Migration,pr3520,Accuvate initial work,Active,Completed,137,Stage 5
19292522,14/02/2019,products: Networking apps,pr3521,respond to RFPA,Active,Blocked,"2,000",Stage 2
84848594,01/07/2019,products: Networking apps,pr3522,Managed Disk implementation,Active,In Progress,500,Stage 4
78787111,27/06/2018,products: Infrastructure Migration,pr3523,Acceleration Transfer,Active,In Progress,"1,365",Stage 1
