Cust_Id,Age,Gender,OwnHome,Married,Location,Salary,Children,History,Catalogs,AmountSpent
246,Old,Male,Own,Married,Close,73100,0,High,6,1582
1035,Old,Male,Own,Single,Close,45700,0,Medium,18,724
1058,Old,Female,Rent,Single,Close,28900,0,Low,12,830
1116,Young,Female,Rent,Married,Close,60100,0,NA,18,1594
931,Middle,Female,Own,Married,Close,84800,1,NA,12,1826
1287,Old,Female,Own,Married,Close,35000,0,Medium,6,473
220,Young,Female,Rent,Married,Close,61700,0,NA,12,1161
710,Old,Female,Rent,Married,Close,46900,0,Medium,6,703
379,Middle,Female,Own,Married,Close,123600,1,NA,12,1892
520,Young,Male,Rent,Married,Close,45800,0,Medium,6,489
325,Middle,Male,Own,Married,Far,77800,1,High,18,1813
959,Middle,Female,Own,Single,Close,48700,1,NA,12,1457
69,Middle,Female,Rent,Single,Far,39000,3,Low,6,292
273,Young,Female,Rent,Married,Close,40000,0,NA,6,613
165,Middle,Female,Rent,Married,Close,118300,1,NA,18,2681
472,Young,Female,Own,Single,Close,27100,2,Low,24,437
213,Middle,Female,Rent,Married,Close,91000,2,Medium,6,708
1033,Middle,Female,Own,Married,Close,35300,0,Medium,24,1093
135,Young,Female,Rent,Single,Far,10200,2,Low,18,213
371,Young,Female,Rent,Single,Close,12500,1,Low,6,202
1205,Old,Female,Own,Single,Close,64600,0,NA,6,1298
844,Middle,Male,Own,Married,Far,113800,0,NA,12,3273
92,Middle,Male,Own,Married,Far,113400,3,High,18,1790
439,Young,Female,Rent,Single,Close,16900,1,Low,6,247
975,Young,Female,Rent,Single,Close,13600,1,Low,6,183
162,Middle,Male,Own,Married,Far,100100,1,High,24,3491
1260,Old,Female,Own,Married,Far,80000,0,High,6,1985
912,Middle,Male,Own,Married,Close,83900,0,High,24,1721
824,Middle,Male,Own,Married,Close,77000,0,High,12,2104
355,Middle,Female,Rent,Married,Close,72900,3,Low,6,252
232,Young,Male,Rent,Married,Close,80700,3,Low,6,202
439,Young,Female,Rent,Married,Close,40900,1,Medium,18,962
636,Young,Female,Rent,Single,Close,26700,1,NA,12,459
774,Middle,Male,Own,Married,Close,54700,0,Medium,18,848
1221,Old,Female,Rent,Married,Close,23600,1,Low,6,161
146,Middle,Male,Rent,Single,Far,56900,0,High,24,1857
806,Middle,Male,Own,Single,Far,68700,1,NA,24,1699
254,Young,Female,Rent,Single,Close,19300,1,Low,24,308
599,Young,Male,Rent,Married,Far,20200,1,Low,24,500
1119,Middle,Female,Rent,Married,Far,61500,3,Medium,24,1162
822,Middle,Female,Own,Married,Far,101700,1,NA,24,2551
1227,Middle,Female,Rent,Married,Far,120800,1,High,24,5830
65,Young,Female,Rent,Single,Far,17300,1,Low,18,381
833,Young,Female,Rent,Married,Close,42300,0,NA,6,856
516,Middle,Male,Rent,Single,Close,53300,0,Medium,18,1720
416,Middle,Female,Rent,Single,Close,42800,0,Medium,12,759
288,Middle,Male,Own,Married,Close,98400,0,High,18,3305
1018,Middle,Female,Own,Single,Close,51200,0,Medium,18,1257
779,Old,Male,Own,Single,Close,62200,0,NA,12,1583
303,Middle,Male,Own,Married,Close,109200,3,Low,24,1102
1054,Young,Female,Rent,Single,Close,11400,2,NA,6,186
246,Young,Female,Rent,Single,Close,14000,0,Low,12,229
1131,Old,Female,Rent,Married,Close,97000,0,NA,24,2599
1221,Young,Female,Own,Single,Far,29600,3,NA,12,774
945,Old,Male,Own,Married,Close,71200,1,Medium,12,638
287,Old,Female,Rent,Single,Far,15000,0,Low,12,378
280,Middle,Male,Rent,Married,Far,64000,1,NA,6,1552
16,Old,Male,Own,Married,Far,33000,0,Medium,12,979
704,Old,Female,Own,Married,Close,74400,0,High,18,2479
787,Young,Male,Rent,Single,Far,20300,2,Low,24,450
555,Middle,Male,Rent,Married,Close,68700,0,High,24,2763
205,Young,Male,Rent,Married,Far,53600,3,Medium,24,1560
496,Old,Female,Own,Single,Close,33200,0,Medium,24,1037
170,Young,Female,Own,Married,Far,70900,0,NA,6,690
1124,Young,Female,Rent,Single,Close,23200,3,NA,24,770
489,Young,Male,Own,Single,Close,41400,0,Medium,18,643
1083,Young,Female,Rent,Married,Close,63200,0,High,24,1512
370,Old,Male,Own,Married,Close,107400,0,High,12,1485
456,Young,Male,Rent,Single,Far,13900,0,NA,24,570
852,Middle,Female,Rent,Married,Close,79900,1,Medium,18,1165
1086,Middle,Male,Own,Married,Far,120000,3,High,18,1926
571,Old,Male,Rent,Married,Far,66300,0,NA,18,2243
695,Middle,Female,Own,Single,Close,54400,3,Low,18,342
502,Middle,Male,Own,Married,Close,84200,0,High,24,1654
479,Young,Female,Rent,Married,Close,13800,0,Low,18,363
537,Young,Female,Rent,Single,Far,14500,1,Low,6,222
977,Young,Male,Rent,Single,Close,21300,0,Low,24,677
854,Old,Male,Rent,Single,Close,29000,0,Low,6,482
957,Old,Female,Rent,Single,Close,14600,1,Low,24,385
808,Old,Male,Own,Single,Close,65300,0,High,18,1443
708,Middle,Female,Own,Married,Close,100800,1,High,24,1789
110,Young,Female,Rent,Single,Far,19800,1,Low,24,991
852,Middle,Male,Own,Single,Close,56700,2,Low,18,536
932,Old,Male,Rent,Married,Close,90200,0,High,18,2183
94,Young,Male,Rent,Single,Close,26100,1,NA,6,494
93,Young,Female,Rent,Single,Close,15900,0,Low,18,503
576,Young,Female,Rent,Single,Close,12700,3,Low,12,87
328,Middle,Male,Rent,Single,Close,43200,0,NA,24,917
571,Middle,Female,Rent,Married,Close,114100,1,NA,24,1976
769,Middle,Male,Own,Married,Close,96100,3,Low,12,316
1003,Middle,Male,Own,Married,Close,97200,0,NA,12,1634
1052,Middle,Male,Own,Married,Far,82400,2,High,24,2035
1297,Old,Male,Own,Single,Far,62000,0,High,24,3293
598,Young,Female,Rent,Single,Close,13400,1,Low,12,143
605,Middle,Male,Own,Married,Close,108200,3,Low,12,635
872,Young,Female,Own,Married,Close,76200,0,High,12,979
370,Middle,Male,Rent,Married,Close,81800,1,High,18,1838
19,Young,Female,Rent,Single,Far,12000,0,Low,6,264
262,Middle,Male,Own,Married,Close,76100,0,NA,6,719
234,Middle,Male,Own,Married,Close,82100,1,High,18,1308
353,Old,Female,Own,Married,Close,103300,0,High,24,3378
374,Young,Male,Rent,Single,Close,14200,1,NA,24,400
958,Middle,Female,Own,Single,Far,47500,0,High,6,847
1149,Young,Female,Rent,Single,Close,31300,1,Low,6,357
633,Young,Female,Rent,Married,Far,32700,1,NA,18,1276
477,Middle,Male,Own,Married,Close,72200,0,High,24,2492
607,Middle,Female,Own,Married,Close,107600,2,Medium,12,1512
1170,Middle,Male,Own,Married,Close,109900,2,Medium,12,870
579,Middle,Female,Own,Married,Close,65400,2,Medium,24,938
55,Old,Female,Own,Single,Close,43300,0,NA,12,1584
154,Old,Female,Own,Single,Close,51900,0,Medium,12,1148
569,Middle,Female,Own,Married,Far,80600,0,High,24,2840
452,Middle,Female,Rent,Single,Close,42700,0,Medium,12,827
1033,Young,Male,Rent,Single,Far,19000,0,NA,12,428
139,Young,Female,Rent,Single,Close,14500,1,Low,6,183
619,Middle,Female,Own,Married,Close,68200,1,NA,6,818
1053,Young,Male,Rent,Married,Close,36700,0,Medium,12,731
103,Old,Male,Own,Married,Far,54600,0,High,24,2163
1168,Middle,Male,Own,Married,Close,65900,1,Medium,12,1081
1138,Young,Male,Own,Single,Far,39600,0,NA,12,1085
540,Young,Male,Rent,Married,Far,67300,3,NA,6,1212
546,Middle,Male,Own,Single,Close,59700,1,NA,18,1422
200,Middle,Female,Own,Married,Far,102800,2,High,18,2238
448,Middle,Female,Rent,Single,Close,34700,0,NA,18,1615
823,Middle,Male,Own,Single,Close,50600,3,NA,6,713
273,Middle,Male,Rent,Married,Close,106700,2,Medium,6,607
1096,Middle,Male,Rent,Single,Close,53900,1,Medium,6,735
480,Young,Female,Rent,Married,Close,25500,2,Low,6,139
501,Young,Male,Rent,Married,Far,46300,1,Medium,18,1357
42,Old,Male,Own,Married,Close,55500,0,Medium,18,858
76,Young,Female,Own,Single,Close,27800,3,NA,12,408
1069,Middle,Male,Own,Married,Close,118600,1,NA,12,1553
94,Middle,Female,Own,Married,Close,130700,3,NA,6,2070
110,Old,Male,Rent,Single,Close,42800,0,Medium,12,922
393,Middle,Female,Own,Married,Far,118300,1,High,12,2502
855,Young,Female,Rent,Single,Far,25600,2,NA,18,426
75,Middle,Male,Rent,Married,Close,63500,2,NA,24,2321
1106,Old,Female,Own,Single,Close,30900,0,Medium,18,862
231,Middle,Male,Own,Single,Close,55900,1,NA,24,2555
301,Middle,Male,Own,Single,Far,53900,0,NA,12,1186
815,Old,Male,Own,Married,Close,84300,0,High,24,2842
549,Old,Male,Own,Single,Close,53400,1,Medium,12,886
1240,Middle,Male,Own,Married,Close,96900,1,High,12,1420
255,Middle,Male,Rent,Single,Far,55800,1,NA,6,821
591,Young,Female,Rent,Married,Close,25900,1,Low,6,242
400,Young,Female,Rent,Single,Close,22000,1,Low,12,472
276,Middle,Female,Rent,Married,Close,96700,2,Medium,12,1231
1057,Middle,Female,Rent,Single,Close,40200,1,NA,12,881
454,Old,Male,Own,Married,Close,26800,0,Low,12,435
759,Young,Female,Rent,Single,Close,16700,2,Low,12,108
991,Young,Female,Rent,Married,Close,40900,2,Low,18,576
1047,Young,Male,Rent,Married,Far,41500,3,NA,24,1314
459,Young,Male,Rent,Single,Close,20900,0,NA,6,296
1190,Young,Female,Rent,Married,Close,69700,2,Medium,6,584
1096,Middle,Male,Rent,Single,Close,61800,0,High,24,1156
250,Middle,Male,Own,Married,Close,102500,1,High,24,2464
1199,Middle,Female,Own,Married,Close,48900,3,NA,18,915
896,Middle,Male,Own,Single,Close,60300,0,NA,24,2091
801,Young,Male,Rent,Married,Far,41600,0,High,24,1690
357,Middle,Male,Own,Single,Close,73700,1,Medium,12,1274
898,Young,Female,Rent,Single,Close,27000,1,NA,24,1012
990,Middle,Female,Rent,Single,Close,43700,0,Medium,12,950
151,Young,Male,Rent,Single,Close,10200,2,NA,12,333
518,Middle,Female,Own,Married,Close,63300,2,Medium,24,679
392,Young,Female,Own,Single,Far,33200,2,Medium,12,607
376,Old,Female,Own,Married,Far,78800,0,High,18,3398
588,Middle,Male,Own,Married,Close,82500,0,High,6,859
643,Middle,Male,Own,Single,Far,80800,2,High,18,2444
452,Middle,Male,Own,Married,Close,88100,2,Medium,24,1078
1077,Middle,Male,Rent,Married,Far,124800,3,High,18,2537
1093,Young,Male,Own,Single,Close,31900,0,Medium,6,616
863,Middle,Female,Own,Single,Close,53300,3,NA,6,508
1290,Old,Male,Own,Married,Far,15400,0,Low,6,297
579,Middle,Male,Own,Married,Close,70200,0,NA,6,1583
810,Young,Female,Rent,Single,Close,23000,3,Low,6,79
600,Middle,Female,Own,Married,Close,82400,2,Medium,18,657
1275,Middle,Female,Own,Married,Close,97900,0,High,24,2149
1162,Old,Female,Rent,Married,Far,88400,0,High,18,3632
315,Middle,Female,Own,Married,Close,86900,0,High,18,2230
1096,Middle,Female,Own,Single,Close,45100,1,Medium,12,448
392,Middle,Male,Rent,Single,Close,41800,3,Low,24,301
1073,Old,Male,Own,Married,Close,74800,0,High,18,1968
16,Middle,Female,Rent,Married,Close,73000,1,Medium,6,490
829,Middle,Male,Own,Married,Close,118500,1,High,24,3063
1176,Middle,Male,Own,Single,Close,65300,3,Low,6,193
134,Middle,Female,Rent,Married,Close,66300,2,Medium,12,544
175,Middle,Male,Own,Married,Far,103900,1,High,24,2666
1271,Middle,Female,Own,Married,Close,71900,0,High,18,1846
137,Middle,Male,Own,Married,Far,86100,1,NA,12,1255
38,Middle,Male,Own,Married,Close,96300,1,High,12,1081
366,Young,Female,Rent,Single,Close,10200,3,NA,6,199
1148,Middle,Male,Own,Married,Close,96300,2,NA,18,3916
309,Old,Female,Own,Single,Far,24000,1,Low,6,357
147,Middle,Female,Rent,Married,Close,46700,0,Medium,24,983
844,Middle,Female,Rent,Single,Close,53700,2,NA,12,1194
1052,Middle,Male,Rent,Married,Close,108300,2,NA,12,2224
287,Young,Female,Rent,Single,Close,12100,1,Low,6,90
743,Young,Male,Rent,Married,Close,36600,0,NA,6,587
601,Old,Male,Own,Married,Close,66300,0,High,12,1088
370,Young,Female,Own,Single,Close,33400,1,NA,6,617
1193,Middle,Male,Own,Married,Far,70000,1,NA,6,1227
579,Middle,Female,Own,Single,Close,47900,1,Medium,24,662
731,Middle,Female,Rent,Married,Close,40500,2,Low,18,622
1236,Old,Male,Own,Single,Close,69100,0,High,12,1477
453,Young,Female,Rent,Single,Close,13300,1,NA,6,236
346,Middle,Female,Rent,Married,Far,75800,1,High,12,1830
279,Middle,Female,Rent,Married,Close,48600,0,Medium,24,1583
86,Old,Female,Own,Single,Close,39600,0,Medium,12,610
374,Young,Female,Rent,Single,Close,11700,0,Low,12,193
315,Young,Male,Rent,Married,Close,52600,1,Medium,12,1052
205,Young,Male,Rent,Single,Close,14600,3,NA,6,307
584,Old,Male,Own,Married,Close,123000,0,High,24,3671
820,Old,Female,Rent,Married,Far,64600,0,High,18,2206
188,Middle,Female,Own,Single,Far,34600,2,Medium,18,748
1132,Middle,Male,Own,Married,Close,74500,0,High,6,1481
489,Old,Male,Own,Married,Close,56600,0,NA,24,1607
920,Old,Female,Rent,Single,Close,37000,1,NA,6,632
1297,Young,Female,Rent,Single,Far,18400,1,Low,6,303
1107,Young,Male,Rent,Single,Close,25000,0,Low,6,264
618,Middle,Male,Own,Married,Far,61400,1,High,24,1575
270,Middle,Male,Own,Married,Close,76400,2,Medium,18,881
1027,Young,Male,Own,Married,Close,55100,0,Medium,18,1439
583,Old,Female,Own,Married,Far,22800,0,NA,12,452
642,Old,Female,Own,Married,Close,10100,1,Low,6,93
1043,Young,Male,Rent,Single,Close,17800,0,Low,18,292
821,Middle,Female,Own,Married,Close,59100,1,NA,6,1426
401,Young,Female,Rent,Single,Far,19700,2,Low,6,330
979,Middle,Male,Own,Married,Far,73800,0,High,24,3120
207,Middle,Male,Own,Married,Far,113300,1,High,18,5151
728,Middle,Male,Own,Married,Far,118400,2,NA,12,3941
128,Middle,Male,Own,Married,Close,92300,1,NA,24,2141
1001,Young,Male,Rent,Single,Close,11200,0,NA,6,106
321,Young,Female,Rent,Married,Far,30100,0,Medium,12,530
679,Middle,Female,Own,Single,Close,43500,1,Medium,12,500
1061,Middle,Male,Own,Married,Close,97500,0,High,18,2837
983,Old,Male,Own,Married,Close,54600,0,Medium,24,1246
423,Middle,Male,Rent,Single,Far,42500,1,NA,6,798
199,Middle,Male,Own,Single,Close,82800,0,NA,6,1544
1000,Old,Male,Own,Married,Far,62300,0,High,24,2644
727,Young,Male,Rent,Single,Far,21900,2,NA,6,192
880,Middle,Female,Rent,Single,Far,35600,3,Low,18,865
694,Middle,Male,Own,Married,Close,96900,0,High,6,1159
175,Young,Female,Rent,Married,Close,36900,1,NA,18,1480
1212,Middle,Female,Rent,Married,Close,93500,1,High,18,1426
808,Middle,Male,Own,Married,Close,97300,1,NA,12,3048
671,Young,Male,Rent,Single,Close,21900,0,Low,12,276
1056,Middle,Male,Rent,Single,Close,63000,0,High,24,1910
733,Young,Female,Rent,Single,Close,11500,3,NA,6,157
211,Middle,Male,Own,Single,Close,44600,2,Low,6,236
316,Young,Female,Rent,Single,Close,21900,1,NA,12,576
603,Middle,Male,Rent,Single,Far,45100,1,Medium,12,794
827,Old,Female,Own,Married,Close,74900,0,High,12,1474
620,Young,Male,Rent,Single,Close,14200,0,Low,6,250
1204,Young,Female,Rent,Single,Far,23200,2,NA,24,788
341,Old,Male,Own,Married,Close,73300,0,NA,12,1694
1121,Old,Male,Own,Married,Far,41300,0,High,24,1985
1134,Old,Female,Own,Single,Far,32700,0,Medium,24,1252
971,Old,Female,Own,Single,Close,35200,0,NA,12,827
1146,Young,Female,Rent,Single,Close,13100,0,NA,18,314
471,Middle,Male,Own,Married,Close,97400,1,High,6,880
522,Young,Female,Rent,Single,Far,23100,2,Low,6,466
482,Middle,Male,Own,Single,Close,49200,3,Low,12,210
740,Middle,Male,Own,Single,Far,45000,1,NA,18,902
130,Middle,Male,Own,Married,Close,87200,0,High,18,1274
683,Middle,Male,Own,Single,Close,49900,1,NA,24,1631
399,Middle,Male,Own,Married,Close,66900,0,High,12,1220
173,Middle,Female,Own,Single,Close,47600,1,Medium,12,801
317,Middle,Female,Own,Single,Close,47900,0,NA,12,1090
71,Middle,Male,Own,Single,Close,59400,0,Medium,18,1699
841,Middle,Female,Rent,Single,Close,32700,2,Low,6,273
174,Middle,Male,Rent,Single,Close,34200,1,Low,18,523
21,Middle,Male,Own,Married,Close,96600,0,NA,12,1437
570,Middle,Female,Own,Married,Close,126300,1,High,6,1888
861,Young,Male,Rent,Single,Close,31600,1,NA,12,476
29,Middle,Female,Own,Married,Far,108100,3,High,18,2632
424,Middle,Female,Rent,Single,Close,43300,3,Low,24,326
638,Old,Female,Rent,Single,Far,17900,0,Low,6,446
312,Middle,Male,Own,Single,Far,50100,1,High,18,1071
763,Old,Female,Own,Married,Close,74700,0,High,12,1699
